longitude,latitude
-104.0728,41.187
-47.37,-22.88
-78.9324,42.1659
-98.4629,33.8951
-96.7364,40.7691
-120.6511,38.3894
142.5719,-33.4268
-54.31,-3.89
-105.1724,40.5183
-85.7035,44.6462
-104.7109,39.3656
-39.45,-15.45
-93.5358,39.775
-125.2667,72.0
-113.6333,50.0
-108.3333,33.8
-99.2667,19.6167
-92.2911,39.0608
151.9425,-26.2422
149.7833,-34.2833
-107.6418,32.4755
143.4711,-36.9422
-93.3394,44.8687
-86.8171,35.4459
-94.0887,32.7169
-83.3431,42.5414
81.9,22.767
-82.3792,28.5843
-81.6667,32.45
8.0108,60.6781
-96.15,17.35
-98.9667,24.25
-48.18,-21.92
-64.8125,17.6997
-75.576,39.0722
-71.6667,41.3333
76.383,32.267
-106.2816,39.1601
-80.6697,34.2492
-91.1158,40.7785
-76.5039,39.7342
-95.848,41.2116
117.3,-32.5167
-95.975,28.9797
-84.4674,42.7571
-107.475,24.765
-44.35,-20.07
-71.5833,43.65
-75.2923,40.2084
-93.7053,45.167
-93.3333,32.0167
-84.2621,34.4701
-122.87,42.2961
-92.3053,36.586
16.09,65.4597
-76.5489,36.8525
-147.4992,61.8125
-100.4,50.4
-104.6989,38.4003
-75.3484,37.9428
-85.4933,36.2718
-92.6496,44.0841
-94.4113,44.9037
143.0667,-19.25
-81.5503,39.0566
-95.7123,38.6743
117.4825,-30.825
150.6167,-34.5667
-79.9206,39.6497
-69.9478,44.0096
-105.8696,40.2048
-82.2076,34.9647
-118.1073,34.1619
30.32,-29.93
-84.5793,33.4694
9.3131,51.5719
-134.25,60.4333
150.6077,-29.2017
-76.6049,36.0691
-115.4833,39.25
151.3906,-27.95
-96.683,33.1597
25.5,65.5331
-44.58,-16.1
-93.569,44.2141
-105.6251,36.3997
-88.1261,39.2283
-94.7833,18.15
39.527,39.71
155.0167,3.85
-98.1721,29.709
-103.1417,40.155
-100.343,37.806
-99.4667,18.3333
-88.9206,42.3697
-130.1833,55.7667
-95.8395,44.524
-123.2934,44.5513
-70.4833,45.9333
-102.7833,35.85
-48.0,-22.15
86.95,25.233
-105.5236,40.2124
-104.8776,41.6497
-98.164,29.866
-44.82,-17.2
-88.2854,43.1442
135.1833,-20.8667
-86.9582,38.3162
-79.8059,43.3446
-101.1333,36.65
-98.2442,29.6148
-89.9243,37.9917
-111.8436,40.4306
-97.9871,29.8473
-89.9,53.8167
-105.0641,40.458
-111.9972,41.0972
147.75,-23.1
-119.8367,39.3843
-117.2251,33.3307
145.1089,-41.0436
-86.7028,35.1272
-91.5994,38.0156
-109.0225,40.8633
-72.45,48.8833
77.37,16.02
151.2917,-33.4436
143.6,-34.5
-89.8677,34.2999
-109.27,38.48
-67.35,48.3
-132.1667,60.0167
-105.1439,40.2805
12.3639,47.8594
-123.7206,46.6791
-98.1667,34.5333
-98.0945,30.2979
-92.0811,41.7922
153.9667,24.2833
-90.4447,40.6633
-111.8667,53.5333
-115.5833,48.6333
-105.8914,38.9931
-93.2414,30.0483
151.7,-28.05
-95.5914,29.7558
-112.4435,34.6261
-108.4333,32.5833
-107.6214,36.8047
-108.9648,38.3684
-97.3092,30.1815
-111.8167,54.05
-96.9526,32.2958
-87.25,36.5114
144.2,-38.2333
-109.1359,44.613
-97.3193,37.7948
30.45,-30.733
-97.4116,49.8692
-94.8667,36.6167
-125.9,49.4
-93.486,35.4647
139.5767,-20.5833
149.1833,-36.15
-82.7575,39.7593
-81.0984,26.9838
-75.86,45.6582
-98.7139,41.0732
-49.55,-4.55
-103.6272,41.8881
-110.82,32.2483
-105.7106,40.7022
-78.413,42.092
73.55,16.87
113.7853,-24.8208
-84.8988,38.0288
77.03,16.17
27.21,61.6869
-84.532,33.3533
-91.6,17.9667
-74.5833,45.4333
149.8833,-25.5833
27.1894,68.0839
134.058,-26.9086
-85.6289,35.0841
-106.0618,39.6379
-108.2871,32.7796
135.7572,-34.5911
-91.75,17.7333
-86.132,39.9813
147.5149,-33.7401
95.367,37.85
-95.4242,37.9233
-79.8833,43.7667
147.6989,-41.3175
-122.15,46.2667
-75.1567,43.2761
-98.1468,30.5185
-89.3167,48.3667
-81.7167,41.4833
-122.4348,37.765
152.5,-30.7
-93.7311,39.0785
-79.15,40.4333
152.4867,-28.2372
144.3167,-37.4667
-88.5578,44.0206
-112.35,36.6833
-68.5333,45.9667
-101.3333,50.9833
-102.2683,48.79
-105.7472,32.92
-40.0,-20.0
-49.77,-22.45
-104.5332,33.6508
86.17,22.28
147.0489,-42.7414
-104.6365,50.445
-96.6164,39.2094
-106.8745,34.0514
-111.3989,40.9156
-91.7113,47.0482
-102.4806,36.7236
-82.9703,44.0469
-110.4333,53.0167
-70.7667,46.2
-111.6946,33.4873
-84.2233,45.4108
-103.2597,47.6
-104.5646,39.4837
-111.3833,42.4667
-122.9597,45.8341
-83.9333,39.7333
-110.837,43.3617
-88.4333,41.3714
-119.6667,49.6
-81.9767,35.2276
-76.95,38.9833
-82.2636,35.3287
-93.8219,41.2989
-98.8054,29.4194
78.45,30.733
-78.35,38.6167
-78.604,26.5627
-125.3,50.0167
-35.88,-5.37
-122.7333,53.9167
-94.1,45.9667
-123.1333,55.3
-99.2874,30.0739
28.1917,61.5356
145.4,-37.8
-75.3512,43.5777
-98.5881,49.3629
-80.1567,25.6719
